"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CBP","China Botanic Pharmaceutical Inc.","1.5132","56351568","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBP&selected=CBP",
"CDM","China Century Dragon Media, Inc.","4.8","0","n/a","Consumer Services","Advertising","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CDM&selected=CDM",
"CHGS","China GengSheng Minerals, Inc.","3.03","81185820","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHGS&selected=CHGS",
"CIL","China Intelligent Lighting and Electronics, Inc.","2.12","29010080","1999","Consumer Durables","Building Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CIL&selected=CIL",
"CMFO","China Marine Food Group Limited","3.52","102002560","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CMFO&selected=CMFO",
"CNR","China Metro-Rural Holdings Limited","4.15","266122900","n/a","Finance","Real Estate","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CNR&selected=CNR",
"NEP","China North East Petroleum Holdings Limited","4.27","126413350","2004","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=NEP&selected=NEP",
"CNGL","China Nutrifruit Group Limited","2.55","93827250","1997","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CNGL&selected=CNGL",
"CPHI","China Pharma Holdings, Inc.","2.51","108946550","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CPHI&selected=CPHI",
"SHZ","China Shen Zhou Mining & Resources, Inc.","6.26","192876860","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHZ&selected=SHZ",
"KUN","China Shenghuo Pharmaceutical Holdings, Inc","0.87","17120730","2007","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=KUN&selected=KUN",
"CRC","Chromcraft Revington, Inc.","1.7","10453300","1992","Consumer Durables","Home Furnishings","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRC&selected=CRC",
"MBA","CIBT Education Group Inc.","0.29","20075540","1992","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MBA&selected=MBA",
"ILB","Citigroup Inc.","12.4","0","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ILB&selected=ILB",
"CKX","CKX Lands, Inc.","13.7122","26629092.4","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CKX&selected=CKX",
"GLA","Clark Holdings Inc","0.42","5053440","n/a","Consumer Services","Transportation Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=GLA&selected=GLA",
"CGR","Claude Resources, Inc.","2.35","326445550","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CGR&selected=CGR",
"GLV","Clough Global Allocation Fund","15.68","163620800","2004","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=GLV&selected=GLV",
"GLQ","Clough Global Equity Fund","14.88","265474080","2005","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=GLQ&selected=GLQ",
"GLO","Clough Global Opportunities Fund","13.39","692758430","1988","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=GLO&selected=GLO",
"CRV","Coast Distribution System, Inc. (The)","4.1","18622200","n/a","Capital Goods","Automotive Aftermarket","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRV&selected=CRV",
"MOC","Command Security Corporation","1.809","19678302","n/a","Consumer Services","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MOC&selected=MOC",
"BTC","Community Bankers Trust Corporation.","1.1","23614800","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BTC&selected=BTC",
"BTC/U","Community Bankers Trust Corporation.","1.22","9150000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BTC/U&selected=BTC/U",
"BTC/WS","Community Bankers Trust Corporation.","0.0111","0","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BTC/WS&selected=BTC/WS",
"CIX","CompX International Inc.","14.75","35031250","1998","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CIX&selected=CIX",
"CONM","Conmed Healthcare Management, Inc.","3.21","41222820","n/a","Health Care","Hospital/Nursing Management","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CONM&selected=CONM",
"CTO","Consolidated-Tomoka Land Co.","32.34","185502240","n/a","Finance","Real Estate","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CTO&selected=CTO",
"MCF","Contango Oil & Gas Company","60.27","944129550","1990","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MCF&selected=MCF",
"CUO","Continental Materials Corporation","16.97","27135030","n/a","Capital Goods","Building Materials","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CUO&selected=CUO",
"CMT","Core Molding Technologies Inc","8.13","57739260","1992","Consumer Non-Durables","Plastic Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CMT&selected=CMT",
"CRMD","CorMedix Inc","1.84","20990720","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMD&selected=CRMD",
"CRMD/WS","CorMedix Inc","0.5101","0","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMD/WS&selected=CRMD/WS",
"CFP","Cornerstone Progressive Return Fund","7.52","70229280","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CFP&selected=CFP",
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","9.373","26375622","1994","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRF&selected=CRF",
"CLM","Cornerstone Strategic Value Fund, Inc.","10.4","71843200","1987","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CLM&selected=CLM",
"CVU","CPI Aerostructures, Inc.","13.8","93771000","n/a","Capital Goods","Military/Government/Technical","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CVU&selected=CVU",
"CIK","Credit Suisse Asset Management Income Fund, Inc.","3.63","181278570","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CIK&selected=CIK",
"DHY","Credit Suisse High Yield Bond Fund","3.1","172976900","1998","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DHY&selected=DHY",
"CXZ","Crosshair Exploration & Mining Corp","1.08","35498520","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CXZ&selected=CXZ",
"CRVP","Crystal Rock Holdings, Inc.","0.77","16469530","n/a","Consumer Non-Durables","Food Distributors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRVP&selected=CRVP",
"KRY","Crystallex International Corporation","0.14","51074520","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=KRY&selected=KRY",
"CTP","CTPartners Executive Search Inc.","13.82","99186140","2010","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CTP&selected=CTP",
"QBC","Cubic Energy Inc","0.65","49011300","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=QBC&selected=QBC",
"ATC","Cycle Country Accessories Corporation","0.3697","2342788.9","1986","Capital Goods","Auto Parts:O.E.M.","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATC&selected=ATC",
"DXR","Daxor Corporation","10.11","42724860","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DXR&selected=DXR",
"DEJ","Dejour Energy Inc.","0.4146","39714948.6","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DEJ&selected=DEJ",
"VAZ","Delaware Investments Arizona Municipal Income Fund, Inc.","12.75","38020500","1993","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=VAZ&selected=VAZ",
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","12.22","59108140","1993","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=VCF&selected=VCF",
"VFL","Delaware Investments Florida Insured Municipal Income Fund","12","29064000","1993","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=VFL&selected=VFL",
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","12.4922","143722761","1993","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=VMM&selected=VMM",
"DLA","Delta Apparel, Inc.","14.41","122441770","n/a","Consumer Non-Durables","Apparel","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DLA&selected=DLA",
"DGSE","DGSE Companies, Inc.","5.2104","51239073.6","n/a","Consumer Services","Consumer Specialties","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DGSE&selected=DGSE",
"DPW","Digital Power Corporation","1.64","10986360","n/a","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DPW&selected=DPW",
"DMC","Document Security Systems, Inc.","3.43","66881570","1994","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DMC&selected=DMC",
"DRJ","Dreams, Inc.","2.2","98142000","n/a","Consumer Services","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DRJ&selected=DRJ",
"DMF","Dreyfus Municipal Income, Inc.","8.51","175263450","1988","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DMF&selected=DMF",
