"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"EMCI","EMC Insurance Group, Inc.","23.44","303079200","1982","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMCI&selected=EMCI",
"EMCF","Emclaire Financial Corp","18.25","26590250","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMCF&selected=EMCF",
"EMKR","EMCORE Corporation","2.24","193092480","1997","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMKR&selected=EMKR",
"EMMS","Emmis Communications Corporation","0.9998","33504297.8","1994","Consumer Services","Broadcasting","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMMS&selected=EMMS",
"EMMSP","Emmis Communications Corporation","17","47753000","n/a","Consumer Services","Broadcasting","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMMSP&selected=EMMSP",
"NYNY","Empire Resorts, Inc.","0.7021","48850011.7","n/a","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=NYNY&selected=NYNY",
"ELMG","EMS Technologies, Inc.","20.97","319645710","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ELMG&selected=ELMG",
"EBTX","Encore Bancshares, Inc.","12.29","141335000","2007","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EBTX&selected=EBTX",
"ECPG","Encore Capital Group Inc","25.98","624013620","n/a","Finance","Finance Companies","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ECPG&selected=ECPG",
"WIRE","Encore Wire Corporation","25.68","596289600","1992","Capital Goods","Metal Fabrications","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=WIRE&selected=WIRE",
"ENDP","Endo Pharmaceuticals Holdings Inc.","40.21","4716110270","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ENDP&selected=ENDP",
"ECYT","Endocyte, Inc.","9.34","277201860","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ECYT&selected=ECYT",
"ELGX","Endologix  Inc","7.34","411399660","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ELGX&selected=ELGX",
"ENWV","Endwave Corporation","2.26","22222580","2000","Technology","Radio And Television Broadcasting And Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ENWV&selected=ENWV",
"HEV","Ener1 Inc","2.75","451346500","n/a","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=HEV&selected=HEV",
